Cell_culture_media,Biotin(VB7),CaCl2,Choline Chloride,CuSO4-5H2O,D-Calcium pantothenate,D-Glucose(D+ Galactose),FeSO4-7H2O,Folic Acid,Glutathione (reduced),Glycine,HEPES,Hypoxanthine Na,i-Inositol,KCl,KH2PO4,L-Alanine,L-Arginine hydrochloride,L-Asparagine-H2O,L-Aspartic Acid,L-Cysteine,L-Cystine 2HCl,L-Glutamic Acid,L-Glutamine,L-Histidine hydrochloride-H2O,L-Hydroxyproline,Linoleic Acid,Lipoic Acid,L-Isoleucine,L-Leucine,L-Lysine hydrochloride,L-Methionine,L-Phenylalanine,L-Proline,L-Serine,L-Threonine,L-Tryptophan,L-Tyrosine disodium salt dihydrate,L-Valine,MgCl2,MgSO4,Na2HPO4,NaCl,NaH2PO4-H2O,NaHCO3,Niacinamide,Para-Aminobenzoic Acid,Phenol Red,Putrescine 2HCl,Pyridoxine hydrochloride(VB6),Riboflavin(VB2),Sodium Pyruvate,Thiamine hydrochloride,Thymidine,Vitamin B12,ZnSO4-7H2O
AMEM,0.1,200,1,0,1,0,0,1,0,50,0,0,2,0,0,25,105,50,30,68.75,31,75,292,42,0,0,0,52.4,52,73,15,32,40,25,48,10,60.32,46,0,97.67,0,0,0,0,1,0,0,0,1,0.1,0,1,0,1.36,0
DMEM,0,200,4,0,4,4500,0.069,4,0,30,5958,0,7.2,400,0,0,84,0,0,0,63,0,584,42,0,0,0,105,105,146,30,66,0,42,95,16,104,94,0,97.67,0,4750,125,3700,4,0,15,0,4,0.4,0,4,0,0,0
DMEM:F12=1:1,0.0035,116.6,8.98,0.0013,2.24,3151,0.4515,2.65,0,18.75,3574.5,2.39,12.6,311.8,0,4.45,147.5,7.5,6.65,12.07,31.29,7.35,365,31.48,0,0.042,0.105,54.47,59.05,91.25,17.24,35.48,17.25,26.25,53.45,9.02,55.79,52.85,28.64,48.84,71.02,6995.5,62.5,1200,2.02,0,8.1,0.081,2,0.219,55,2.17,0.365,0.68,0.432
DMEM:IMDM=1:1,0.0065,182.5,4,0,4,4500,0.0345,4,0,30,5958,0,7.2,365,0.051,12.5,84,14.2,15,0,77.2,37.5,584,42,0,0,0,105,105,146,30,66,20,42,95,16,112.32,94,0,97.67,0,4627.5,125,3362,4,0,15,0,4,0.4,55,4,0,0.0065,0
DMEM:RPMI=2:1,0.067,149,3.667,0,2.75,3666.67,0.046,3,0.33,23.33,5958,0,16.467,400,0,0,56,18.9,6.67,0,63.7,6.67,489.3,34.773,6.67,0,0,86.7,86.7,110.67,25,49,6.67,38,70,12.33,79,69.33,0,81.39,266.667,4933.3,83.3,3133.3,3,0.333,11.7,0,3,0.333,0,3,0,0.00167,0
EMEM,0,200,1,0,1,1000,0,1,0,7.5,0,0,2,400,0,8.9,126.4,15,13.3,0,31.2,14.7,292,41.9,0,0,0,52.5,52.5,72.5,15,32.5,11.5,10.5,47.6,10,51.9,46.8,0,97.67,0,6800,140,1500,0,0,10,0,0,0.1,0,1,0,0,0
EMEM:F12=1:1,0.00365,116.61,7.5,0.00125,0.75,1401,0.417,1.15,0,7.5,0,2.385,10,311.8,0,8.9,168.7,15.005,13.3,12.0725,15.6,14.7,219,31.45,0,0.042,0.105,28.25,32.8,54.5,9.75,18.75,23,10.5,29.75,6.02,29.855,29.25,28.61,48.835,71,7199.5,70,1338,0.018,0,5.6,0.0805,0.03,0.0685,55,0.65,0.35,0.7,0.4315
F10,0.024,33.3,0.7,0.0025,0.7,1100,0.834,1.3,0,7.5,0,4.7,0.5,285,83,9,211,15,13,25,0,14.7,146,23,0,0,0.2,2.6,13,29,4.5,5,11.5,10.5,3.6,0.6,2.62,3.5,0,74.62,153.7,7400,0,1200,0.6,0,1.2,0,0.2,0.4,110,1,0.7,1.4,0.03
F12,0.0073,33.22,14,0.0025,0.5,1802,0.834,1.3,0,7.5,0,4.77,18,223.6,0,8.9,211,15.01,13.3,24.145,0,14.7,146,21,0,0.084,0.21,4,13.1,36.5,4.5,5,34.5,10.5,11.9,2.04,7.81,11.7,57.22,0,142,7599,0,1176,0.036,0,1.2,0.161,0.06,0.037,110,0.3,0.7,1.4,0.863
F12K,0.07,102,14,0.002,0.5,1260,0.8,1.3,0,15,0,4,18,285,0,18,422,30,26.6,48.125,0,29,292,45.8,0,0,0.21,7.88,26.2,73,8.96,9.92,69,21,23,4.1,13.5,23,49.7,192,115.5,7530,67.85,2500,0.037,0,3,0.32,0.06,0.04,220,0.3,0.7,1.4,0.144
IMDM ,0.013,165,4,0,4,4500,0,4,0,30,5958,0,7.2,330,0.102,25,84,28.4,30,0,91.4,75,584,42,0,0,0,105,105,146,30,66,40,42,95,16,120.64,94,0,97.67,0,4505,125,3024,4,0,15,0,4,0.4,110,4,0,0.013,0
Leibovitzs_L-15,0,140,1,0,1,900,0,1,0,200,0,0,2,400,60,225,606.32,284,0,120,0,0,300,388.71,0,0,0,250,125,75,75,125,0,200,300,20,432.6,100,93.7,97.67,190,8000,0,0,1,0,10,0,1,0.078,550,1,0,0,0
McCoys_5A,0.2,100,5,0,0.2,3000,0,10,0.5,7.5,0,0,36,400,0,13.9,42.1,51.1,19.97,31.5,0,22.1,219.2,20.96,19.7,0,0,39.36,39.36,36.5,14.9,16.5,17.3,26.3,17.9,3.1,26.1,17.6,0,97.56,0,6460,580,2200,0.5,1,10,0,1,0.2,0,0.2,0,2,0
MEM,0,200,1,0,1,1000,0,1,0,0,0,0,2,400,0,0,126,0,0,0,31,0,292,42,0,0,0,52,52,73,15,32,0,0,48,10,52,46,0,97.67,0,6800,140,2200,1,0,10,0,1,0.1,0,1,0,0,0
RPMI_1640,0.2,47,3,0,0.25,2000,0,1,1,10,5958,0,35,400,0,0,0,56.8,20,0,65,20,300,20.32,20,0,0,50,50,40,15,15,20,30,20,5,29,20,0,48.84,800,5300,0,2000,1,1,5,0,1,0.2,0,1,0,0.005,0
RPMI:EMEM=1:1,0.1,123.5,2,0,0.625,1500,0,1,0.5,8.75,2979,0,18.5,400,0,4.45,63.2,35.9,16.65,0,48.1,17.35,296,31.11,10,0,0,51.25,51.25,56.25,15,23.75,15.75,20.25,33.8,7.5,40.45,33.4,0,73.255,400,6050,70,1750,0.5,0.5,7.5,0,0.5,0.15,0,1,0,0.0025,0
RPMI:F12=1:1,0.10365,40.11,8.5,0.00125,0.375,1901,0.417,1.15,0.5,8.75,2979,2.385,26.5,311.8,0,4.45,105.5,35.905,16.65,12.0725,32.5,17.35,223,20.66,10,0.042,0.105,27,31.55,38.25,9.75,10,27.25,20.25,15.95,3.52,18.405,15.85,28.61,24.42,471,6449.5,0,1588,0.518,0.5,3.1,0.0805,0.53,0.1185,55,0.65,0.35,0.7025,0.4315
RPMI:MEM=1:1,0.1,123.5,2,0,0.625,1500,0,1,0.5,5,2979,0,18.5,400,0,0,63,28.4,10,0,48,10,296,31.16,10,0,0,51,51,56.5,15,23.5,10,15,34,7.5,40.5,33,0,73.255,400,6050,70,2100,1,0.5,7.5,0,1,0.15,0,1,0,0.0025,0
Waymouth_MB_7521_medium,0.02,90.6,250,0,1,5000,0,0.5,15,50,0,29.228,1,150,80,0,75,0,60,61,19.56,150,350,173.42,0,0,0,25,50,240,50,50,50,0,75,40,57.68,65,112.32,97.56,300,6000,0,2240,1,0,10,0,1,1,0,10,0,0.2,0
Williams_E_Medium,0.5,200,1.5,0.0001,1,2000,0.000069,1,0.05,50,0,0,2,400,0,90,0,20,30,40,26.07,50,0,20.32,0,0,0,50,75,87.46,15,25,30,10,40,10,50.65,50,0,97.67,0,6800,161,2200,1,0,10,0,1,0.1,25,1,0,0.2,0.0002
